label,h,d,h_prime,k,a,w,l,swn,mmax,security,size,keygen_C,sign_C,verify_C,verify_worst_C,c_per_byte,c_per_byte_worst
w=256,50,2,25,6,20,256,18,0,0,128.0,3408,154887258110.0,309799682039.0,4953.0,9033.0,1.4533450704225352,2.6505281690140845
w=256,50,2,25,7,17,256,18,0,0,128.0,3408,154887258110.0,309778186229.0,4952.0,9032.0,1.4530516431924883,2.6502347417840375
w=256,50,2,25,8,15,256,18,0,0,128.0,3440,154887258110.0,309775564787.0,4955.0,9035.0,1.440406976744186,2.626453488372093
w=256,46,2,23,7,18,256,18,0,0,128.0,3456,38721814526.0,77450969077.0,4958.0,9038.0,1.4346064814814814,2.615162037037037
w=256,44,2,22,8,16,256,18,0,0,128.0,3472,19360907262.0,38723911667.0,4959.0,9039.0,1.4282834101382489,2.603398617511521
w=256,50,2,25,10,12,256,18,0,0,128.0,3472,154887258110.0,309774680048.0,4958.0,9038.0,1.4279953917050692,2.603110599078341
w=256,46,2,23,9,14,256,18,0,0,128.0,3488,38721814526.0,77444218865.0,4960.0,9040.0,1.4220183486238531,2.591743119266055
w=256,48,2,24,7,18,256,18,0,0,128.0,3488,77443629054.0,154894598133.0,4962.0,9042.0,1.422591743119266,2.592316513761468
w=256,42,2,21,7,19,256,18,0,0,128.0,3504,9680453630.0,19375587317.0,4964.0,9044.0,1.4166666666666667,2.5810502283105023
w=256,46,2,23,8,16,256,18,0,0,128.0,3504,38721814526.0,77445726195.0,4963.0,9043.0,1.4163812785388128,2.5807648401826486
w=256,50,2,25,11,11,256,18,0,0,128.0,3504,154887258110.0,309774606318.0,4961.0,9041.0,1.4158105022831051,2.5801940639269407
w=256,50,2,25,12,10,256,18,0,0,128.0,3504,154887258110.0,309774565356.0,4960.0,9040.0,1.4155251141552512,2.5799086757990866
w=256,48,2,24,9,14,256,18,0,0,128.0,3520,77443629054.0,154887847921.0,4964.0,9044.0,1.4102272727272727,2.569318181818182
w=256,50,2,25,7,18,256,18,0,0,128.0,3520,154887258110.0,309781856245.0,4966.0,9046.0,1.4107954545454546,2.5698863636363636
w=256,44,2,22,7,19,256,18,0,0,128.0,3536,19360907262.0,38736494581.0,4968.0,9048.0,1.4049773755656108,2.5588235294117645
w=256,48,2,24,8,16,256,18,0,0,128.0,3536,77443629054.0,154889355251.0,4967.0,9047.0,1.4046945701357465,2.5585407239819005
