cumulative_total,required_global_X,bottleneck_metric,h,d,k,a,w,size_bytes,size_X,keygen_X,sign_X,verify_X,cpb_X
1,0.8669,c_per_byte,40,5,19,10,16,6800,0.8656,0.5,0.3558,0.7503,0.8669
2,0.8676,size,40,5,14,14,16,6816,0.8676,0.5,0.6396,0.7499,0.8643
3,0.8676,size,40,5,15,13,16,6816,0.8676,0.5,0.4956,0.7503,0.8648
4,0.8676,size,40,5,21,9,16,6816,0.8676,0.5,0.344,0.7508,0.8654
5,0.8678,c_per_byte,40,5,16,12,16,6784,0.8635,0.5,0.4181,0.7494,0.8678
6,0.8704,c_per_byte,40,5,23,8,16,6768,0.8615,0.5,0.3374,0.7499,0.8704
7,0.8739,c_per_byte,40,5,17,11,16,6720,0.8554,0.5,0.3765,0.7476,0.8739
8,0.8798,size,40,5,18,11,16,6912,0.8798,0.5,0.3793,0.7531,0.856
9,0.8798,size,40,5,24,8,16,6912,0.8798,0.5,0.3378,0.7541,0.857
10,0.8807,c_per_byte,40,5,20,9,16,6656,0.8473,0.5,0.3433,0.7462,0.8807
11,0.8833,c_per_byte,40,5,18,10,16,6624,0.8432,0.5,0.3544,0.7448,0.8833
12,0.8859,c_per_byte,40,5,14,13,16,6592,0.8391,0.5,0.4845,0.7434,0.8859
13,0.8875,c_per_byte,40,5,13,14,16,6576,0.8371,0.5,0.6175,0.7429,0.8875
14,0.888,size,40,5,20,10,16,6976,0.888,0.5,0.3571,0.7555,0.8508
15,0.888,size,40,5,22,9,16,6976,0.888,0.5,0.3447,0.7555,0.8508
16,0.8881,c_per_byte,40,5,15,12,16,6576,0.8371,0.5,0.4125,0.7434,0.8881
17,0.89,size,40,5,17,12,16,6992,0.89,0.5,0.4236,0.7555,0.8488
18,0.8924,c_per_byte,40,5,12,15,16,6528,0.831,0.5,0.8612,0.7415,0.8924
19,0.8929,c_per_byte,40,5,16,11,16,6528,0.831,0.5,0.3738,0.742,0.8929
20,0.8961,size,40,5,16,13,16,7040,0.8961,0.5,0.5067,0.7568,0.8446
21,0.8968,c_per_byte,40,5,19,9,16,6496,0.8269,0.5,0.3426,0.7415,0.8968
22,0.8982,size,40,5,15,14,16,7056,0.8982,0.5,0.6618,0.7573,0.8432
23,0.9012,c_per_byte,40,5,17,10,16,6448,0.8208,0.5,0.353,0.7397,0.9012
24,0.9043,size,40,5,19,11,16,7104,0.9043,0.5,0.3821,0.7592,0.8395
25,0.9055,sign_C,40,5,13,15,16,6784,0.8635,0.5,0.9055,0.749,0.8673
26,0.9084,size,40,5,23,9,16,7136,0.9084,0.5,0.3454,0.7606,0.8373
27,0.9091,c_per_byte,40,5,14,12,16,6368,0.8106,0.5,0.407,0.7369,0.9091
28,0.9091,c_per_byte,40,5,13,13,16,6368,0.8106,0.5,0.4735,0.7369,0.9091
29,0.9104,size,40,5,21,10,16,7152,0.9104,0.5,0.3585,0.7606,0.8354
30,0.9125,c_per_byte,40,5,12,14,16,6336,0.8065,0.5,0.5953,0.736,0.9125
31,0.9131,c_per_byte,40,5,15,11,16,6336,0.8065,0.5,0.371,0.7364,0.9131
32,0.9165,size,40,5,18,12,16,7200,0.9165,0.5,0.4291,0.7615,0.8309
33,0.9195,c_per_byte,40,5,11,15,16,6272,0.7984,0.5,0.8169,0.7341,0.9195
34,0.9246,size,40,5,17,13,16,7264,0.9246,0.5,0.5178,0.7633,0.8256
35,0.9287,size,40,5,20,11,16,7296,0.9287,0.5,0.3848,0.7647,0.8234
36,0.9287,size,40,5,24,9,16,7296,0.9287,0.5,0.3461,0.7652,0.8239
37,0.9287,size,40,5,16,14,16,7296,0.9287,0.5,0.6839,0.7643,0.8229
38,0.9321,c_per_byte,40,5,13,12,16,6160,0.7841,0.5,0.4015,0.7309,0.9321
39,0.9328,size,40,5,22,10,16,7328,0.9328,0.5,0.3599,0.7657,0.8208
40,0.9339,c_per_byte,40,5,12,13,16,6144,0.7821,0.5,0.4624,0.7304,0.9339
41,0.9369,size,42,6,23,8,16,7360,0.9369,0.25,0.2056,0.877,0.9361
42,0.9372,c_per_byte,48,6,20,9,16,7344,0.9348,0.5,0.4092,0.8761,0.9372
43,0.9389,size,42,6,13,15,16,7376,0.9389,0.25,0.7737,0.8761,0.9331
44,0.9389,size,42,6,16,12,16,7376,0.9389,0.25,0.2863,0.8766,0.9336
45,0.9395,c_per_byte,40,5,11,14,16,6096,0.776,0.5,0.5732,0.729,0.9395
46,0.9398,c_per_byte,48,6,18,10,16,7312,0.9308,0.5,0.4203,0.8747,0.9398
47,0.9398,c_per_byte,42,6,17,11,16,7312,0.9308,0.25,0.2447,0.8747,0.9398
48,0.9403,c_per_byte,48,6,22,8,16,7312,0.9308,0.5,0.4029,0.8752,0.9403
49,0.9409,size,42,6,19,10,16,7392,0.9409,0.25,0.224,0.8775,0.9326
50,0.9424,c_per_byte,48,6,14,13,16,7280,0.9267,0.5,0.5504,0.8733,0.9424
51,0.943,size,42,6,21,9,16,7408,0.943,0.25,0.2122,0.878,0.9311
52,0.943,size,42,6,15,13,16,7408,0.943,0.25,0.3638,0.8775,0.9306
53,0.943,size,48,6,17,11,16,7408,0.943,0.5,0.4424,0.8775,0.9306
54,0.943,size,42,6,14,14,16,7408,0.943,0.25,0.5078,0.877,0.9301
55,0.943,size,40,5,19,12,16,7408,0.943,0.5,0.4347,0.768,0.8144
56,0.944,c_per_byte,48,6,13,14,16,7264,0.9246,0.5,0.6834,0.8729,0.944
57,0.9445,c_per_byte,48,6,15,12,16,7264,0.9246,0.5,0.4784,0.8733,0.9445
58,0.9466,c_per_byte,42,6,20,9,16,7248,0.9226,0.25,0.2115,0.8733,0.9466
59,0.9483,c_per_byte,40,5,10,15,16,6016,0.7658,0.5,0.7726,0.7262,0.9483
60,0.9488,c_per_byte,48,6,12,15,16,7216,0.9185,0.5,0.9271,0.8715,0.9488
61,0.9491,size,48,6,23,8,16,7456,0.9491,0.5,0.4033,0.8798,0.927
62,0.9493,c_per_byte,42,6,18,10,16,7216,0.9185,0.25,0.2226,0.8719,0.9493
63,0.9493,c_per_byte,48,6,16,11,16,7216,0.9185,0.5,0.4396,0.8719,0.9493
64,0.9498,c_per_byte,42,6,22,8,16,7216,0.9185,0.25,0.2053,0.8724,0.9498
65,0.9498,sign_C,40,5,14,15,16,7040,0.8961,0.5,0.9498,0.7564,0.8441
66,0.9511,size,48,6,16,12,16,7472,0.9511,0.5,0.484,0.8794,0.9245
67,0.952,c_per_byte,42,6,14,13,16,7184,0.9145,0.25,0.3528,0.8705,0.952
68,0.953,c_per_byte,48,6,19,9,16,7184,0.9145,0.5,0.4085,0.8715,0.953
69,0.9532,size,40,5,18,13,16,7488,0.9532,0.5,0.5288,0.7698,0.8077
70,0.9532,size,40,5,21,11,16,7488,0.9532,0.5,0.3876,0.7703,0.8082
71,0.9532,size,48,6,19,10,16,7488,0.9532,0.5,0.4216,0.8803,0.9235
72,0.9536,c_per_byte,42,6,13,14,16,7168,0.9124,0.25,0.4857,0.8701,0.9536
73,0.9541,c_per_byte,42,6,15,12,16,7168,0.9124,0.25,0.2807,0.8705,0.9541
74,0.9546,c_per_byte,48,6,21,8,16,7168,0.9124,0.5,0.4026,0.871,0.9546
75,0.9552,size,48,6,21,9,16,7504,0.9552,0.5,0.4099,0.8807,0.9221
76,0.9552,size,48,6,15,13,16,7504,0.9552,0.5,0.5615,0.8803,0.9216
77,0.9552,size,42,6,24,8,16,7504,0.9552,0.25,0.206,0.8812,0.9225
78,0.9552,size,48,6,14,14,16,7504,0.9552,0.5,0.7055,0.8798,0.9211
79,0.9552,size,40,5,23,10,16,7504,0.9552,0.5,0.3613,0.7712,0.8074
80,0.9552,size,42,6,18,11,16,7504,0.9552,0.25,0.2475,0.8803,0.9216
81,0.9573,c_per_byte,48,6,17,10,16,7136,0.9084,0.5,0.4189,0.8696,0.9573
82,0.9585,c_per_byte,42,6,12,15,16,7120,0.9063,0.25,0.7294,0.8687,0.9585
83,0.959,c_per_byte,42,6,16,11,16,7120,0.9063,0.25,0.242,0.8691,0.959
84,0.9593,size,40,5,17,14,16,7536,0.9593,0.5,0.7061,0.7712,0.804
85,0.9628,c_per_byte,42,6,19,9,16,7088,0.9022,0.25,0.2108,0.8687,0.9628
86,0.9633,size,42,6,20,10,16,7568,0.9633,0.25,0.2254,0.8826,0.9162
87,0.9633,size,42,6,22,9,16,7568,0.9633,0.25,0.2129,0.8826,0.9162
88,0.9645,c_per_byte,42,6,21,8,16,7072,0.9002,0.25,0.2049,0.8682,0.9645
89,0.9651,c_per_byte,48,6,13,13,16,7056,0.8982,0.5,0.5393,0.8668,0.9651
90,0.9651,c_per_byte,48,6,14,12,16,7056,0.8982,0.5,0.4729,0.8668,0.9651
91,0.9654,size,42,6,17,12,16,7584,0.9654,0.25,0.2918,0.8826,0.9143
92,0.9673,c_per_byte,42,6,17,10,16,7040,0.8961,0.25,0.2212,0.8668,0.9673
93,0.9674,size,48,6,24,8,16,7600,0.9674,0.5,0.4036,0.884,0.9138
94,0.9674,size,48,6,18,11,16,7600,0.9674,0.5,0.4452,0.8831,0.9128
95,0.9685,c_per_byte,48,6,12,14,16,7024,0.8941,0.5,0.6612,0.8659,0.9685
96,0.969,c_per_byte,48,6,15,11,16,7024,0.8941,0.5,0.4369,0.8664,0.969
97,0.969,c_per_byte,48,6,18,9,16,7024,0.8941,0.5,0.4078,0.8664,0.969
98,0.9695,size,40,5,20,12,16,7616,0.9695,0.5,0.4402,0.774,0.7984
99,0.9695,c_per_byte,48,6,20,8,16,7024,0.8941,0.5,0.4023,0.8668,0.9695
100,0.9714,sign_C,48,6,13,15,16,7472,0.9511,0.5,0.9714,0.8789,0.9241
101,0.9715,size,42,6,16,13,16,7632,0.9715,0.25,0.3749,0.884,0.9099
102,0.9715,size,42,6,14,15,16,7632,0.9715,0.25,0.818,0.8835,0.9095
103,0.9735,size,42,6,15,14,16,7648,0.9735,0.25,0.53,0.8845,0.9085
104,0.9753,c_per_byte,42,6,14,12,16,6960,0.8859,0.25,0.2752,0.864,0.9753
105,0.9753,c_per_byte,42,6,13,13,16,6960,0.8859,0.25,0.3417,0.864,0.9753
106,0.9753,c_per_byte,48,6,11,15,16,6960,0.8859,0.5,0.8828,0.864,0.9753
107,0.9756,size,48,6,22,9,16,7664,0.9756,0.5,0.4106,0.8854,0.9076
108,0.9756,size,48,6,20,10,16,7664,0.9756,0.5,0.423,0.8854,0.9076
109,0.9758,c_per_byte,48,6,16,10,16,6960,0.8859,0.5,0.4175,0.8645,0.9758
110,0.9776,size,40,5,24,10,16,7680,0.9776,0.5,0.3627,0.7763,0.7941
111,0.9776,size,40,5,22,11,16,7680,0.9776,0.5,0.3904,0.7759,0.7937
112,0.9776,size,48,6,17,12,16,7680,0.9776,0.5,0.4895,0.8854,0.9057
113,0.9787,c_per_byte,42,6,12,14,16,6928,0.8819,0.25,0.4635,0.8631,0.9787
114,0.9792,c_per_byte,42,6,15,11,16,6928,0.8819,0.25,0.2392,0.8636,0.9792
115,0.9792,c_per_byte,42,6,18,9,16,6928,0.8819,0.25,0.2101,0.8636,0.9792
116,0.9796,size,42,6,19,11,16,7696,0.9796,0.25,0.2503,0.8863,0.9047
117,0.9798,c_per_byte,42,6,20,8,16,6928,0.8819,0.25,0.2046,0.864,0.9798
118,0.9817,size,40,5,19,13,16,7712,0.9817,0.5,0.5399,0.7768,0.7913
119,0.9837,size,42,6,23,9,16,7728,0.9837,0.25,0.2136,0.8877,0.9024
120,0.9837,size,48,6,16,13,16,7728,0.9837,0.5,0.5726,0.8868,0.9015
121,0.985,c_per_byte,48,6,19,8,16,6880,0.8758,0.5,0.4019,0.8626,0.985
122,0.9857,c_per_byte,42,6,11,15,16,6864,0.8737,0.25,0.6851,0.8613,0.9857
123,0.9857,size,42,6,21,10,16,7744,0.9857,0.25,0.2267,0.8877,0.9005
124,0.9857,size,48,6,15,14,16,7744,0.9857,0.5,0.7277,0.8872,0.9001
125,0.9863,c_per_byte,48,6,17,9,16,6864,0.8737,0.5,0.4071,0.8617,0.9863
126,0.9863,c_per_byte,42,6,16,10,16,6864,0.8737,0.25,0.2198,0.8617,0.9863
127,0.9875,c_per_byte,48,6,13,12,16,6848,0.8717,0.5,0.4673,0.8608,0.9875
128,0.9893,c_per_byte,48,6,12,13,16,6832,0.8697,0.5,0.5283,0.8603,0.9893
129,0.9893,c_per_byte,48,6,14,11,16,6832,0.8697,0.5,0.4341,0.8603,0.9893
130,0.9898,size,40,5,18,14,16,7776,0.9898,0.5,0.7282,0.7782,0.7862
131,0.9919,size,42,6,18,12,16,7792,0.9919,0.25,0.2974,0.8886,0.8959
132,0.9919,size,48,6,19,11,16,7792,0.9919,0.5,0.448,0.8891,0.8964
133,0.9941,sign_C,40,5,15,15,16,7296,0.9287,0.5,0.9941,0.7643,0.8229
134,0.9947,c_per_byte,48,6,11,14,16,6784,0.8635,0.5,0.639,0.8589,0.9947
135,0.9952,c_per_byte,48,6,15,10,16,6784,0.8635,0.5,0.4161,0.8594,0.9952
136,0.9959,size,40,5,21,12,16,7824,0.9959,0.5,0.4458,0.78,0.7832
137,0.9959,size,48,6,23,9,16,7824,0.9959,0.5,0.4113,0.8905,0.8941
138,0.997,c_per_byte,42,6,17,9,16,6768,0.8615,0.25,0.2094,0.8589,0.997
139,0.998,size,48,6,21,10,16,7840,0.998,0.5,0.4244,0.8905,0.8923
140,0.9983,c_per_byte,42,6,13,12,16,6752,0.8595,0.25,0.2697,0.858,0.9983
141,1.0,keygen_C,45,5,17,9,16,6256,0.7963,1.0,0.6707,0.7341,0.9219
142,1.0,keygen_C,45,5,20,9,16,6736,0.8574,1.0,0.6727,0.7485,0.8729
143,1.0,keygen_C,45,5,14,11,16,6224,0.7923,1.0,0.6977,0.7327,0.9248
144,1.0,keygen_C,45,5,19,9,16,6576,0.8371,1.0,0.672,0.7439,0.8886
145,1.0,keygen_C,45,5,12,13,16,6224,0.7923,1.0,0.7918,0.7327,0.9248
146,1.0,keygen_C,45,5,11,13,16,6000,0.7637,1.0,0.7808,0.7262,0.9509
147,1.0,keygen_C,45,5,13,12,16,6240,0.7943,1.0,0.7309,0.7332,0.9231
148,1.0,keygen_C,45,5,14,10,16,6000,0.7637,1.0,0.6783,0.7262,0.9509
149,1.0,keygen_C,45,5,22,11,16,7760,0.9878,1.0,0.7198,0.7782,0.7878
150,1.0,keygen_C,45,5,17,13,16,7344,0.9348,1.0,0.8472,0.7657,0.819
151,1.0,keygen_C,45,5,23,10,16,7584,0.9654,1.0,0.6907,0.7735,0.8013
152,1.0,keygen_C,45,5,12,14,16,6416,0.8167,1.0,0.9248,0.7383,0.904
153,1.0,keygen_C,45,5,19,10,16,6880,0.8758,1.0,0.6852,0.7527,0.8594
154,1.0,keygen_C,45,5,18,11,16,6992,0.89,1.0,0.7087,0.7555,0.8488
155,1.0,keygen_C,45,5,18,9,16,6416,0.8167,1.0,0.6714,0.7387,0.9046
156,1.0,keygen_C,45,5,24,8,16,6992,0.89,1.0,0.6672,0.7564,0.8498
157,1.0,keygen_C,45,5,21,11,16,7568,0.9633,1.0,0.7171,0.7726,0.802
158,1.0,keygen_C,45,5,18,13,16,7568,0.9633,1.0,0.8583,0.7722,0.8015
159,1.0,keygen_C,45,5,20,8,16,6416,0.8167,1.0,0.6658,0.7392,0.9051
160,1.0,keygen_C,45,5,13,13,16,6448,0.8208,1.0,0.8029,0.7392,0.9006
161,1.0,keygen_C,45,5,14,12,16,6448,0.8208,1.0,0.7364,0.7392,0.9006
162,1.0,keygen_C,45,5,21,8,16,6560,0.835,1.0,0.6662,0.7434,0.8903
163,1.0,keygen_C,45,5,16,12,16,6864,0.8737,1.0,0.7475,0.7517,0.8604
164,1.0,keygen_C,45,5,16,10,16,6352,0.8086,1.0,0.6811,0.7369,0.9114
165,1.0,keygen_C,45,5,19,12,16,7488,0.9532,1.0,0.7641,0.7703,0.8082
166,1.0,keygen_C,45,5,17,11,16,6800,0.8656,1.0,0.706,0.7499,0.8663
